# 🤖 에이전트(무작위 밸류 진화) 시뮬레이션 리포트
> **예산**: 320 골드 / **기물 풀**: 4코 10장, 5코 7장 고증 반영 / **분석 시간**: 2026. 5. 31. 오후 9:56:42
> **평가 방식**: 각 레벨별 예선(100개 풀 리그)을 통과한 상위 10개씩, 총 40개의 정예 덱들이 결선 토너먼트 배틀로얄을 치른 승률 기반 순위표입니다.

---

## 🏆 최종 최적해 순위 통계 (Top 45)

| 순위 | 덱 타입 | 덱 명칭 (발견된 시너지) | 승률 | 🛡️ 메인 탱커 | ⚔️ 메인 딜러 | 🎯 서브 딜러 | 코스트 | 구성 유닛 상세 |
| 10 | 8L | **국어2_수학2_과학2** | **64.1%** | 전교 학생회장(4코2★) | 전교 학생회장(4코2★) | 천재 퀀트(4코1★) | 52G | **전교 학생회장(4코2★)**, **전교 학생회장(4코2★)**, 나이팅게일(4코1★), **천재 퀀트(4코1★)**, 미친 과학자(4코1★), 수능 만점자(4코1★), 천재 피아니스트(4코1★), 논술의 신(4코1★), 전교 체육부장(4코1★) |
| 11 | 9L | **음악2_선도부2_창체1** | **64.1%** | 교장 선생님(5코2★) | 기부 천사(5코2★) | 천재 피아니스트(4코2★) | 85G | **교장 선생님(5코2★)**, **기부 천사(5코2★)**, **천재 피아니스트(4코2★)**, 전교 체육부장(4코2★), 전교 체육부장(4코2★), 외고 전학생(5코1★), 외고 전학생(5코1★), 교장 선생님(5코1★), 전교 학생회장(4코1★) |
| 12 | 9L | **과학2_장난꾸러기2** | **61.5%** | 교장 선생님(5코2★) | 수능 만점자(4코2★) | 미친 과학자(4코2★) | 69G | **교장 선생님(5코2★)**, **수능 만점자(4코2★)**, **미친 과학자(4코2★)**, 외고 전학생(5코1★), 피카소의 재림(5코1★), 외고 전학생(5코1★), 피카소의 재림(5코1★), 수석 연구원(5코1★), 교장 선생님(5코1★) |
| 13 | 6L | **체육2_선도부2_사회1** | **59.0%** | 골목대장(2코3★) | 역사 매니아(2코3★) | 급식 당번(2코2★) | 60G | **역사 매니아(2코3★)**, **골목대장(2코3★)**, **급식 당번(2코2★)**, 바른생활 사나이(2코2★), 체육부장(2코2★), 수학천재(2코2★) |
| 14 | 6L | **장난꾸러기2_창체1_사회1** | **59.0%** | 골목대장(2코3★) | 급식 당번(2코3★) | 칠판 낙서꾼(2코3★) | 72G | **급식 당번(2코3★)**, **골목대장(2코3★)**, **칠판 낙서꾼(2코3★)**, 진로진학 멘토(2코2★), 역사 매니아(2코2★), 문학소녀(2코2★) |
| 15 | 6L | **체육2_장난꾸러기2_보건부2** | **59.0%** | 골목대장(2코3★) | 문학소녀(2코3★) | 칠판 낙서꾼(2코3★) | 72G | **골목대장(2코3★)**, **문학소녀(2코3★)**, **칠판 낙서꾼(2코3★)**, 체육부장(2코2★), 진로진학 멘토(2코2★), 팝송 매니아(2코2★) |
| 16 | 7L | **보건부2_창체1_사회1** | **53.8%** | 양호실 도우미(3코2★) | 육상부 에이스(3코2★) | 미술 치료사(3코2★) | 63G | **양호실 도우미(3코2★)**, **육상부 에이스(3코2★)**, **미술 치료사(3코2★)**, 영어 프리토커(3코2★), 오케스트라 단장(3코2★), 또래 상담 에이스(3코2★), 사회탐구 1타(3코2★) |
| 17 | 7L | **보건부2_사회1** | **53.8%** | 양호실 도우미(3코2★) | 시조 읊는 선비(3코2★) | 미술 치료사(3코2★) | 63G | **양호실 도우미(3코2★)**, **시조 읊는 선비(3코2★)**, **미술 치료사(3코2★)**, 육상부 에이스(3코2★), 사회탐구 1타(3코2★), 발명품 매니아(3코2★), 영어 프리토커(3코2★) |
| 18 | 9L | **과학2_장난꾸러기2_사회1** | **53.8%** | 전교 학생회장(4코2★) | 미친 과학자(4코2★) | 수능 만점자(4코2★) | 66G | **미친 과학자(4코2★)**, **수능 만점자(4코2★)**, **전교 학생회장(4코2★)**, 피카소의 재림(5코1★), 수석 연구원(5코1★), 피카소의 재림(5코1★), 외고 전학생(5코1★), 기부 천사(5코1★), 수석 연구원(5코1★) |
| 19 | 8L | **국어2_수학2_과학2** | **51.3%** | 전교 학생회장(4코1★) | 논술의 신(4코2★) | 천재 퀀트(4코2★) | 53G | **논술의 신(4코2★)**, **천재 퀀트(4코2★)**, 천재 피아니스트(4코1★), 미친 과학자(4코1★), 수능 만점자(4코1★), 미친 과학자(4코1★), **전교 학생회장(4코1★)**, 수능 만점자(4코1★), 외고 전학생(5코1★) |
| 20 | 6L | **체육2_선도부2** | **48.7%** | 골목대장(2코3★) | 수학천재(2코3★) | 체육부장(2코3★) | 84G | **수학천재(2코3★)**, **골목대장(2코3★)**, **체육부장(2코3★)**, 급식 당번(2코3★), 바른생활 사나이(2코2★), 과학실험부장(2코2★) |
| 21 | 8L | **육상부2** | **48.7%** | 전교 체육부장(4코2★) | 미친 과학자(4코2★) | 외고 전학생(5코1★) | 54G | **전교 체육부장(4코2★)**, **미친 과학자(4코2★)**, **외고 전학생(5코1★)**, 수능 만점자(4코1★), 논술의 신(4코1★), 전교 체육부장(4코1★), 수능 만점자(4코1★), 전교 체육부장(4코1★), 외고 전학생(5코1★) |
| 22 | 9L | **과학2_도덕2_사회1** | **48.7%** | 전교 학생회장(4코2★) | 외고 전학생(5코2★) | 천재 퀀트(4코2★) | 76G | **외고 전학생(5코2★)**, **천재 퀀트(4코2★)**, **전교 학생회장(4코2★)**, 나이팅게일(4코2★), 수석 연구원(5코1★), 교장 선생님(5코1★), 피카소의 재림(5코1★), 기부 천사(5코1★), 수석 연구원(5코1★) |
| 23 | 8L | **국어2_창체1_사회1** | **46.2%** | 전교 학생회장(4코2★) | 미친 과학자(4코2★) | 수능 만점자(4코2★) | 53G | **미친 과학자(4코2★)**, **수능 만점자(4코2★)**, 기부 천사(5코1★), 논술의 신(4코1★), 나이팅게일(4코1★), 나이팅게일(4코1★), **전교 학생회장(4코2★)** |
| 24 | 6L | **수학2_장난꾸러기2** | **43.6%** | 골목대장(2코2★) | 칠판 낙서꾼(2코3★) | 문학소녀(2코3★) | 60G | **칠판 낙서꾼(2코3★)**, **문학소녀(2코3★)**, 수학천재(2코2★), 과학실험부장(2코2★), **골목대장(2코2★)**, 골목대장(2코2★) |
| 25 | 8L | **국어2_과학2_장난꾸러기2** | **43.6%** | 전교 학생회장(4코2★) | 논술의 신(4코2★) | 피카소의 재림(5코1★) | 53G | **전교 학생회장(4코2★)**, **논술의 신(4코2★)**, 나이팅게일(4코1★), 미친 과학자(4코1★), 천재 퀀트(4코1★), 미친 과학자(4코1★), 전교 체육부장(4코1★), 천재 피아니스트(4코1★), **피카소의 재림(5코1★)** |
| 26 | 7L | **미술2_선도부2_창체1** | **41.0%** | 또래 상담 에이스(3코2★) | 수채화 장인(3코2★) | 해외 보따리상(3코2★) | 63G | **수채화 장인(3코2★)**, **해외 보따리상(3코2★)**, 올림피아드 금상(3코2★), 미술 치료사(3코2★), **또래 상담 에이스(3코2★)**, 시조 읊는 선비(3코2★), 시조 읊는 선비(3코2★) |
| 27 | 7L | **영어2_창체1** | **41.0%** | 또래 상담 에이스(3코2★) | 해외 보따리상(3코2★) | 영어 프리토커(3코2★) | 63G | **해외 보따리상(3코2★)**, **영어 프리토커(3코2★)**, 오케스트라 단장(3코2★), **또래 상담 에이스(3코2★)**, 육상부 에이스(3코2★), 발명품 매니아(3코2★), 시조 읊는 선비(3코2★) |
| 28 | 7L | **영어2_선도부2_창체1** | **41.0%** | 또래 상담 에이스(3코2★) | 해외 보따리상(3코2★) | 올림피아드 금상(3코2★) | 63G | **해외 보따리상(3코2★)**, **올림피아드 금상(3코2★)**, 발명품 매니아(3코2★), 영어 프리토커(3코2★), **또래 상담 에이스(3코2★)**, 수채화 장인(3코2★), 시조 읊는 선비(3코2★) |
| 29 | 7L | **미술2_보건부2_창체1** | **41.0%** | 또래 상담 에이스(3코2★) | 영어 프리토커(3코2★) | 수채화 장인(3코2★) | 63G | **또래 상담 에이스(3코2★)**, **영어 프리토커(3코2★)**, **수채화 장인(3코2★)**, 발명품 매니아(3코2★), 양호실 도우미(3코2★), 미술 치료사(3코2★), 시조 읊는 선비(3코2★) |
| 30 | 6L | **체육2_수학2_장난꾸러기2** | **38.5%** | 골목대장(2코3★) | 합창단 에이스(2코3★) | 역사 매니아(2코3★) | 90G | **합창단 에이스(2코3★)**, **역사 매니아(2코3★)**, **골목대장(2코3★)**, 칠판 낙서꾼(2코3★), 체육부장(2코2★), 수학천재(2코2★), 팝송 매니아(2코2★) |
| 31 | 8L | **수학2_도덕2_선도부2** | **38.5%** | 전교 체육부장(4코2★) | 수능 만점자(4코2★) | 교장 선생님(5코1★) | 54G | **전교 체육부장(4코2★)**, **수능 만점자(4코2★)**, **교장 선생님(5코1★)**, 천재 퀀트(4코1★), 천재 피아니스트(4코1★), 나이팅게일(4코1★), 천재 퀀트(4코1★), 논술의 신(4코1★), 교장 선생님(5코1★) |
| 32 | 8L | **과학2_국어2_수학2** | **33.3%** | 전교 체육부장(4코2★) | 미친 과학자(4코2★) | 피카소의 재림(5코1★) | 54G | **전교 체육부장(4코2★)**, **미친 과학자(4코2★)**, **피카소의 재림(5코1★)**, 전교 학생회장(4코1★), 수능 만점자(4코1★), 논술의 신(4코1★), 논술의 신(4코1★), 천재 퀀트(4코1★), 교장 선생님(5코1★) |
| 33 | 7L | **창체1_사회1** | **30.8%** | 또래 상담 에이스(3코2★) | 육상부 에이스(3코2★) | 오케스트라 단장(3코2★) | 63G | **육상부 에이스(3코2★)**, **오케스트라 단장(3코2★)**, **또래 상담 에이스(3코2★)**, 발명품 매니아(3코2★), 사회탐구 1타(3코2★), 시조 읊는 선비(3코2★), 영어 프리토커(3코2★) |
| 34 | 8L | **국어2_과학2_수학2** | **30.8%** | 전교 학생회장(4코1★) | 논술의 신(4코2★) | 미친 과학자(4코2★) | 52G | **논술의 신(4코2★)**, **미친 과학자(4코2★)**, 천재 피아니스트(4코1★), 수능 만점자(4코1★), 나이팅게일(4코1★), **전교 학생회장(4코1★)**, 천재 퀀트(4코1★), 미친 과학자(4코1★), 나이팅게일(4코1★) |
| 35 | 8L | **국어2_사회1** | **30.8%** | 전교 학생회장(4코2★) | 나이팅게일(4코2★) | 미친 과학자(4코2★) | 52G | **나이팅게일(4코2★)**, **전교 학생회장(4코2★)**, 수능 만점자(4코1★), 전교 체육부장(4코1★), 논술의 신(4코1★), 천재 피아니스트(4코1★), **미친 과학자(4코2★)** |
| 36 | 7L | **미술2_창체1_사회1** | **25.6%** | 또래 상담 에이스(3코2★) | 영어 프리토커(3코2★) | 수채화 장인(3코2★) | 63G | **영어 프리토커(3코2★)**, **또래 상담 에이스(3코2★)**, **수채화 장인(3코2★)**, 사회탐구 1타(3코2★), 미술 치료사(3코2★), 시조 읊는 선비(3코2★), 영어 프리토커(3코2★) |
| 37 | 7L | **창체1_사회1** | **23.1%** | 또래 상담 에이스(3코2★) | 올림피아드 금상(3코2★) | 발명품 매니아(3코2★) | 63G | **올림피아드 금상(3코2★)**, **발명품 매니아(3코2★)**, 오케스트라 단장(3코2★), 올림피아드 금상(3코2★), **또래 상담 에이스(3코2★)**, 사회탐구 1타(3코2★), 시조 읊는 선비(3코2★) |
| 38 | 7L | **선도부2_사회1_창체1** | **20.5%** | 또래 상담 에이스(3코2★) | 사회탐구 1타(3코2★) | 육상부 에이스(3코2★) | 63G | **사회탐구 1타(3코2★)**, **육상부 에이스(3코2★)**, 수채화 장인(3코2★), 올림피아드 금상(3코2★), **또래 상담 에이스(3코2★)**, 영어 프리토커(3코2★), 발명품 매니아(3코2★) |
| 39 | 9L | **도덕2_과학2_선도부2** | **12.8%** | 교장 선생님(5코2★) | 천재 퀀트(4코2★) | 전교 체육부장(4코2★) | 76G | **교장 선생님(5코2★)**, **천재 퀀트(4코2★)**, **전교 체육부장(4코2★)**, 나이팅게일(4코2★), 피카소의 재림(5코1★), 피카소의 재림(5코1★), 수석 연구원(5코1★), 수석 연구원(5코1★), 기부 천사(5코1★) |
| 40 | 9L | **과학2_장난꾸러기2_창체1** | **0.0%** | 전교 체육부장(4코2★) | 기부 천사(5코2★) | 천재 피아니스트(4코2★) | 66G | **기부 천사(5코2★)**, **천재 피아니스트(4코2★)**, **전교 체육부장(4코2★)**, 피카소의 재림(5코1★), 기부 천사(5코1★), 수석 연구원(5코1★), 천재 퀀트(4코1★), 미친 과학자(4코1★), 천재 퀀트(4코1★) |
