# 🤖 에이전트(무작위 밸류 진화) 시뮬레이션 리포트
> **예산**: 280 골드 / **분석 시간**: 2026. 5. 31. 오후 11:06:05
> **평가 방식**: 각 레벨별 예선(풀 리그)을 통과한 총 60개의 정예 덱들이 결선 토너먼트 배틀로얄을 치른 승률 기반 순위표입니다. (시너지 타겟 덱 합류)

---

## 🏆 최종 최적해 순위 통계 (Top 60)

| 순위 | 덱 타입 | 덱 명칭 (발견된 시너지) | 승률 | 🛡️ 메인 탱커 | ⚔️ 메인 딜러 | 🎯 서브 딜러 | 코스트 | 구성 유닛 상세 |
| 10 | 8L | **국어2_과학2_사회1** | **69.5%** | 전교 학생회장(4코2★) | 천재 퀀트(4코2★) | 논술의 신(4코2★) | 56G | **전교 학생회장(4코2★)**, **천재 퀀트(4코2★)**, **논술의 신(4코2★)**, 전교 체육부장(4코1★), 나이팅게일(4코1★), 천재 피아니스트(4코1★), 미친 과학자(4코1★), 천재 피아니스트(4코1★) |
| 11 | 7L | **영어2_보건부2_사회1** | **66.1%** | 양호실 도우미(3코2★) | 미술 치료사(3코2★) | 영어 프리토커(3코2★) | 63G | **양호실 도우미(3코2★)**, **미술 치료사(3코2★)**, **영어 프리토커(3코2★)**, 사회탐구 1타(3코2★), 해외 보따리상(3코2★), 미술 치료사(3코2★), 육상부 에이스(3코2★) |
| 12 | 6L | **체육2_사회1_창체1** | **64.4%** | 골목대장(2코3★) | 역사 매니아(2코3★) | 문학소녀(2코3★) | 72G | **역사 매니아(2코3★)**, **문학소녀(2코3★)**, **골목대장(2코3★)**, 체육부장(2코2★), 수학천재(2코2★), 진로진학 멘토(2코2★) |
| 13 | 6L | **보건부2_창체1** | **64.4%** | 바른생활 사나이(2코3★) | 문학소녀(2코3★) | 팝송 매니아(2코2★) | 60G | **바른생활 사나이(2코3★)**, **문학소녀(2코3★)**, **팝송 매니아(2코2★)**, 진로진학 멘토(2코2★), 팝송 매니아(2코2★), 칠판 낙서꾼(2코2★) |
| 14 | Syn(사회4) | **사회4_국어2_보건부2** | **64.4%** | 전교 학생회장(4코2★) | 논술의 신(4코2★) | 나이팅게일(4코2★) | 71G | 사회탐구 1타(3코2★), 지리덕후(1코2★), 역사 매니아(2코1★), **논술의 신(4코2★)**, **나이팅게일(4코2★)**, **전교 학생회장(4코2★)**, 나이팅게일(4코2★), 미술 치료사(3코2★) |
| 15 | Syn(장난꾸러기6) | **장난꾸러기6_과학2_체육2** | **64.4%** | 전교 학생회장(4코2★) | 발명품 매니아(3코2★) | 육상부 에이스(3코2★) | 50G | **발명품 매니아(3코2★)**, 골목대장(2코2★), 칠판 낙서꾼(2코2★), 영단어 암기왕(1코2★), 미친 과학자(4코1★), 찰흙 조각가(1코1★), **전교 학생회장(4코2★)**, **육상부 에이스(3코2★)** |
| 16 | 9L | **음악2_과학2_국어2** | **61.0%** | 전교 학생회장(4코1★) | 외고 전학생(5코2★) | 천재 퀀트(4코2★) | 55G | **외고 전학생(5코2★)**, **천재 퀀트(4코2★)**, **전교 학생회장(4코1★)**, 논술의 신(4코1★), 전교 학생회장(4코1★), 나이팅게일(4코1★), 논술의 신(4코1★), 미친 과학자(4코1★), 천재 피아니스트(4코1★) |
| 17 | 9L | **음악2_수학2_국어2** | **61.0%** | 전교 학생회장(4코1★) | 외고 전학생(5코2★) | 천재 피아니스트(4코2★) | 55G | **외고 전학생(5코2★)**, **천재 피아니스트(4코2★)**, 수능 만점자(4코1★), **전교 학생회장(4코1★)**, 전교 학생회장(4코1★), 전교 체육부장(4코1★), 논술의 신(4코1★), 천재 퀀트(4코1★), 천재 퀀트(4코1★) |
| 18 | Syn(선도부6) | **선도부6_미술2_도덕2** | **61.0%** | 전교 학생회장(4코2★) | 올림피아드 금상(3코2★) | 수채화 장인(3코2★) | 52G | **올림피아드 금상(3코2★)**, **수채화 장인(3코2★)**, 교장 선생님(5코1★), 전교 체육부장(4코1★), 체육부장(2코1★), 바른생활 사나이(2코1★), **전교 학생회장(4코2★)**, 미술 치료사(3코2★) |
| 19 | 7L | **보건부2_창체1** | **59.3%** | 양호실 도우미(3코2★) | 미술 치료사(3코2★) | 발명품 매니아(3코2★) | 63G | **미술 치료사(3코2★)**, **발명품 매니아(3코2★)**, 오케스트라 단장(3코2★), 미술 치료사(3코2★), **양호실 도우미(3코2★)**, 또래 상담 에이스(3코2★), 해외 보따리상(3코2★) |
| 20 | 7L | **사회1** | **59.3%** | 양호실 도우미(3코2★) | 사회탐구 1타(3코2★) | 오케스트라 단장(3코2★) | 63G | **사회탐구 1타(3코2★)**, **양호실 도우미(3코2★)**, **오케스트라 단장(3코2★)**, 시조 읊는 선비(3코2★), 발명품 매니아(3코2★), 영어 프리토커(3코2★), 육상부 에이스(3코2★) |
| 21 | 8L | **과학2_국어2_수학2** | **57.6%** | 전교 학생회장(4코2★) | 나이팅게일(4코2★) | 미친 과학자(4코2★) | 52G | **나이팅게일(4코2★)**, **미친 과학자(4코2★)**, 논술의 신(4코1★), 수능 만점자(4코1★), 천재 퀀트(4코1★), 천재 퀀트(4코1★), **전교 학생회장(4코2★)** |
| 22 | 9L | **국어2_장난꾸러기2_선도부2** | **57.6%** | 전교 학생회장(4코2★) | 피카소의 재림(5코1★) | 미친 과학자(4코1★) | 47G | **전교 학생회장(4코2★)**, **피카소의 재림(5코1★)**, 교장 선생님(5코1★), 피카소의 재림(5코1★), **미친 과학자(4코1★)**, 전교 체육부장(4코1★), 논술의 신(4코1★), 수능 만점자(4코1★), 전교 학생회장(4코1★) |
| 23 | 8L | **과학2_국어2_수학2** | **55.9%** | 전교 학생회장(4코1★) | 미친 과학자(4코2★) | 논술의 신(4코2★) | 48G | **미친 과학자(4코2★)**, **논술의 신(4코2★)**, 수능 만점자(4코1★), 천재 퀀트(4코1★), **전교 학생회장(4코1★)**, 천재 피아니스트(4코1★), 수능 만점자(4코1★), 천재 퀀트(4코1★) |
| 24 | 9L | **수학2_창체1_사회1** | **55.9%** | 전교 학생회장(4코1★) | 나이팅게일(4코2★) | 수능 만점자(4코2★) | 55G | **나이팅게일(4코2★)**, **수능 만점자(4코2★)**, 외고 전학생(5코1★), 기부 천사(5코1★), 외고 전학생(5코1★), **전교 학생회장(4코1★)**, 천재 퀀트(4코1★), 천재 퀀트(4코1★), 나이팅게일(4코1★) |
| 25 | 7L | **미술2_창체1_사회1** | **54.2%** | 또래 상담 에이스(3코2★) | 또래 상담 에이스(3코2★) | 육상부 에이스(3코2★) | 63G | **또래 상담 에이스(3코2★)**, **또래 상담 에이스(3코2★)**, **육상부 에이스(3코2★)**, 미술 치료사(3코2★), 수채화 장인(3코2★), 사회탐구 1타(3코2★), 시조 읊는 선비(3코2★) |
| 26 | 9L | **수학2_과학2_창체1** | **54.2%** | 전교 학생회장(4코1★) | 천재 퀀트(4코2★) | 수석 연구원(5코1★) | 50G | **천재 퀀트(4코2★)**, **수석 연구원(5코1★)**, 기부 천사(5코1★), 피카소의 재림(5코1★), 피카소의 재림(5코1★), 수석 연구원(5코1★), 외고 전학생(5코1★), 수능 만점자(4코1★), **전교 학생회장(4코1★)** |
| 27 | 9L | **과학2_수학2_사회1** | **54.2%** | 전교 학생회장(4코2★) | 피카소의 재림(5코1★) | 외고 전학생(5코1★) | 49G | **전교 학생회장(4코2★)**, **피카소의 재림(5코1★)**, 기부 천사(5코1★), **외고 전학생(5코1★)**, 외고 전학생(5코1★), 수석 연구원(5코1★), 수능 만점자(4코1★), 나이팅게일(4코1★), 천재 퀀트(4코1★) |
| 28 | Syn(급식부7) | **급식부5_국어2_사회1** | **54.2%** | 전교 학생회장(4코2★) | 전교 체육부장(4코2★) | 논술의 신(4코2★) | 69G | **전교 학생회장(4코2★)**, 시조 읊는 선비(3코2★), 급식 당번(2코2★), 수석 연구원(5코1★), 수학 짝꿍(1코1★), **전교 체육부장(4코2★)**, 전교 체육부장(4코2★), **논술의 신(4코2★)** |
| 29 | Syn(보건부4) | **국어4_보건부4_도덕2** | **54.2%** | 전교 학생회장(4코2★) | 나이팅게일(4코2★) | 논술의 신(4코2★) | 72G | **나이팅게일(4코2★)**, 양호실 도우미(3코2★), 문학소녀(2코2★), 미술 치료사(3코1★), **논술의 신(4코2★)**, **전교 학생회장(4코2★)**, 시조 읊는 선비(3코2★), 시조 읊는 선비(3코2★) |
| 30 | 7L | **창체1_사회1** | **52.5%** | 또래 상담 에이스(3코2★) | 올림피아드 금상(3코2★) | 육상부 에이스(3코2★) | 63G | **또래 상담 에이스(3코2★)**, **올림피아드 금상(3코2★)**, **육상부 에이스(3코2★)**, 해외 보따리상(3코2★), 발명품 매니아(3코2★), 오케스트라 단장(3코2★), 사회탐구 1타(3코2★) |
| 31 | 8L | **수학2_과학2_국어2** | **52.5%** | 전교 체육부장(4코2★) | 천재 퀀트(4코2★) | 수능 만점자(4코1★) | 51G | **전교 체육부장(4코2★)**, **천재 퀀트(4코2★)**, **수능 만점자(4코1★)**, 전교 학생회장(4코1★), 천재 피아니스트(4코1★), 전교 체육부장(4코1★), 미친 과학자(4코1★), 논술의 신(4코1★), 올림피아드 금상(3코1★) |
| 32 | 6L | **수학2_장난꾸러기2_사회1** | **50.8%** | 골목대장(2코2★) | 역사 매니아(2코3★) | 칠판 낙서꾼(2코3★) | 60G | **역사 매니아(2코3★)**, **칠판 낙서꾼(2코3★)**, 팝송 매니아(2코2★), **골목대장(2코2★)**, 바른생활 사나이(2코2★), 수학천재(2코2★) |
| 33 | 8L | **국어2_사회1** | **50.8%** | 전교 학생회장(4코1★) | 수능 만점자(4코2★) | 나이팅게일(4코2★) | 50G | **수능 만점자(4코2★)**, **나이팅게일(4코2★)**, 피카소의 재림(5코1★), 피카소의 재림(5코1★), 논술의 신(4코1★), 천재 피아니스트(4코1★), **전교 학생회장(4코1★)**, 전교 체육부장(4코1★) |
| 34 | 8L | **음악2_육상부2** | **50.8%** | 전교 체육부장(4코2★) | 논술의 신(4코2★) | 외고 전학생(5코1★) | 53G | **전교 체육부장(4코2★)**, **논술의 신(4코2★)**, 천재 피아니스트(4코1★), 천재 피아니스트(4코1★), 수능 만점자(4코1★), 나이팅게일(4코1★), 미친 과학자(4코1★), 전교 체육부장(4코1★), **외고 전학생(5코1★)** |
| 35 | Syn(육상부6) | **육상부4_체육2_국어2** | **50.8%** | 전교 학생회장(4코2★) | 전교 체육부장(4코2★) | 미친 과학자(4코2★) | 68G | 육상부 에이스(3코2★), 외고 전학생(5코1★), 논술의 신(4코1★), 수학천재(2코1★), **전교 학생회장(4코2★)**, **전교 체육부장(4코2★)**, **미친 과학자(4코2★)**, 천재 퀀트(4코2★) |
| 36 | 7L | **미술2_보건부2_사회1** | **49.2%** | 양호실 도우미(3코2★) | 사회탐구 1타(3코2★) | 시조 읊는 선비(3코2★) | 63G | **양호실 도우미(3코2★)**, **사회탐구 1타(3코2★)**, **시조 읊는 선비(3코2★)**, 발명품 매니아(3코2★), 미술 치료사(3코2★), 수채화 장인(3코2★), 오케스트라 단장(3코2★) |
| 37 | 8L | **국어2_과학2_사회1** | **49.2%** | 전교 학생회장(4코1★) | 나이팅게일(4코2★) | 논술의 신(4코2★) | 53G | **나이팅게일(4코2★)**, **논술의 신(4코2★)**, 미친 과학자(4코1★), 미친 과학자(4코1★), 나이팅게일(4코1★), 수능 만점자(4코1★), **전교 학생회장(4코1★)**, 전교 체육부장(4코1★), 수석 연구원(5코1★) |
| 38 | 8L | **수학2_과학2_사회1** | **45.8%** | 전교 학생회장(4코1★) | 천재 퀀트(4코2★) | 수능 만점자(4코2★) | 52G | **천재 퀀트(4코2★)**, **수능 만점자(4코2★)**, 미친 과학자(4코1★), 나이팅게일(4코1★), 미친 과학자(4코1★), 천재 피아니스트(4코1★), 천재 피아니스트(4코1★), **전교 학생회장(4코1★)**, 천재 퀀트(4코1★) |
| 39 | 8L | **과학2_수학2_영어2** | **45.8%** | 전교 학생회장(4코1★) | 나이팅게일(4코2★) | 미친 과학자(4코2★) | 60G | **나이팅게일(4코2★)**, **미친 과학자(4코2★)**, 수능 만점자(4코2★), 외고 전학생(5코1★), 논술의 신(4코1★), **전교 학생회장(4코1★)**, 천재 퀀트(4코1★), 영어 프리토커(3코1★), 나이팅게일(4코1★) |
| 40 | 6L | **창체1** | **44.1%** | 골목대장(2코2★) | 과학실험부장(2코3★) | 문학소녀(2코3★) | 84G | **과학실험부장(2코3★)**, **문학소녀(2코3★)**, 합창단 에이스(2코3★), 수학천재(2코3★), **골목대장(2코2★)**, 진로진학 멘토(2코2★) |
| 41 | 7L | **선도부2_사회1_창체1** | **44.1%** | 양호실 도우미(3코2★) | 사회탐구 1타(3코2★) | 발명품 매니아(3코2★) | 63G | **사회탐구 1타(3코2★)**, **양호실 도우미(3코2★)**, **발명품 매니아(3코2★)**, 올림피아드 금상(3코2★), 수채화 장인(3코2★), 오케스트라 단장(3코2★), 또래 상담 에이스(3코2★) |
| 42 | 8L | **도덕2_수학2_국어2** | **44.1%** | 전교 체육부장(4코2★) | 나이팅게일(4코2★) | 수능 만점자(4코1★) | 53G | **나이팅게일(4코2★)**, **전교 체육부장(4코2★)**, **수능 만점자(4코1★)**, 전교 학생회장(4코1★), 논술의 신(4코1★), 미친 과학자(4코1★), 전교 학생회장(4코1★), 천재 퀀트(4코1★), 교장 선생님(5코1★) |
| 43 | 9L | **급식부3_과학2_국어2** | **44.1%** | 전교 체육부장(4코1★) | 수석 연구원(5코2★) | 천재 피아니스트(4코2★) | 64G | **수석 연구원(5코2★)**, **천재 피아니스트(4코2★)**, 논술의 신(4코2★), 피카소의 재림(5코1★), **전교 체육부장(4코1★)**, 천재 퀀트(4코1★), 천재 퀀트(4코1★), 전교 체육부장(4코1★), 전교 학생회장(4코1★) |
| 44 | 7L | **선도부2** | **42.4%** | 양호실 도우미(3코2★) | 시조 읊는 선비(3코2★) | 오케스트라 단장(3코2★) | 63G | **시조 읊는 선비(3코2★)**, **오케스트라 단장(3코2★)**, 발명품 매니아(3코2★), **양호실 도우미(3코2★)**, 올림피아드 금상(3코2★), 영어 프리토커(3코2★), 수채화 장인(3코2★) |
| 45 | 7L | **미술2_보건부2_사회1** | **40.7%** | 또래 상담 에이스(3코2★) | 시조 읊는 선비(3코2★) | 사회탐구 1타(3코2★) | 63G | **시조 읊는 선비(3코2★)**, **사회탐구 1타(3코2★)**, 미술 치료사(3코2★), 해외 보따리상(3코2★), 수채화 장인(3코2★), **또래 상담 에이스(3코2★)**, 양호실 도우미(3코2★) |
| 46 | Syn(방송부5) | **방송부5_과학2_국어2** | **40.7%** | 전교 학생회장(4코2★) | 미친 과학자(4코2★) | 나이팅게일(4코2★) | 63G | 영어 프리토커(3코2★), 사회탐구 1타(3코2★), 합창단 에이스(2코2★), 과학실험부장(2코1★), 국어부장(1코1★), **미친 과학자(4코2★)**, **나이팅게일(4코2★)**, **전교 학생회장(4코2★)** |
| 47 | Syn(음악4) | **급식부3_음악2_국어2** | **40.7%** | 전교 학생회장(4코2★) | 미친 과학자(4코2★) | 나이팅게일(4코2★) | 75G | 오케스트라 단장(3코2★), 천재 피아니스트(4코1★), 합창단 에이스(2코1★), **전교 학생회장(4코2★)**, **미친 과학자(4코2★)**, **나이팅게일(4코2★)**, 천재 퀀트(4코2★), 논술의 신(4코2★) |
| 48 | Syn(육상부4) | **육상부4_국어2_체육2** | **37.3%** | 전교 체육부장(4코2★) | 논술의 신(4코2★) | 전교 학생회장(4코2★) | 69G | **논술의 신(4코2★)**, 육상부 에이스(3코2★), 수학천재(2코1★), 달리기 선수(1코1★), **전교 체육부장(4코2★)**, **전교 학생회장(4코2★)**, 미친 과학자(4코2★), 양호실 도우미(3코2★) |
| 49 | Syn(국어4) | **국어2_과학2_장난꾸러기2** | **35.6%** | 전교 학생회장(4코2★) | 나이팅게일(4코2★) | 미친 과학자(4코2★) | 79G | 시조 읊는 선비(3코2★), 국어부장(1코1★), **전교 학생회장(4코2★)**, **나이팅게일(4코2★)**, **미친 과학자(4코2★)**, 나이팅게일(4코2★), 천재 퀀트(4코2★), 발명품 매니아(3코2★) |
| 50 | 9L | **도덕2_음악2_과학2** | **32.2%** | 교장 선생님(5코1★) | 나이팅게일(4코2★) | 외고 전학생(5코1★) | 50G | **나이팅게일(4코2★)**, 피카소의 재림(5코1★), **외고 전학생(5코1★)**, 피카소의 재림(5코1★), 외고 전학생(5코1★), **교장 선생님(5코1★)**, 수석 연구원(5코1★), 천재 피아니스트(4코1★), 미친 과학자(4코1★) |
| 51 | Syn(미술4) | **미술4_선도부2** | **32.2%** | 전교 체육부장(4코2★) | 미술 치료사(3코2★) | 천재 퀀트(4코2★) | 61G | **미술 치료사(3코2★)**, 급식 당번(2코2★), 수채화 장인(3코1★), 찰흙 조각가(1코1★), **천재 퀀트(4코2★)**, **전교 체육부장(4코2★)**, 영어 프리토커(3코2★), 오케스트라 단장(3코2★) |
| 52 | 9L | **국어2_창체1_사회1** | **25.4%** | 교장 선생님(5코1★) | 피카소의 재림(5코1★) | 천재 퀀트(4코1★) | 41G | **피카소의 재림(5코1★)**, 피카소의 재림(5코1★), **교장 선생님(5코1★)**, 기부 천사(5코1★), 기부 천사(5코1★), **천재 퀀트(4코1★)**, 논술의 신(4코1★), 천재 피아니스트(4코1★), 전교 학생회장(4코1★) |
| 53 | 9L | **과학2_육상부2_선도부2** | **23.7%** | 교장 선생님(5코1★) | 피카소의 재림(5코1★) | 외고 전학생(5코1★) | 42G | **피카소의 재림(5코1★)**, **외고 전학생(5코1★)**, 피카소의 재림(5코1★), 기부 천사(5코1★), **교장 선생님(5코1★)**, 수석 연구원(5코1★), 논술의 신(4코1★), 전교 체육부장(4코1★), 천재 퀀트(4코1★) |
| 54 | Syn(선도부4) | **선도부4_체육2_사회1** | **23.7%** | 전교 체육부장(4코2★) | 사회탐구 1타(3코2★) | 오케스트라 단장(3코2★) | 59G | **전교 체육부장(4코2★)**, 바른생활 사나이(2코2★), 수채화 장인(3코1★), 체육부장(2코1★), **사회탐구 1타(3코2★)**, **오케스트라 단장(3코2★)**, 육상부 에이스(3코2★), 발명품 매니아(3코2★) |
| 55 | Syn(국어4) | **국어4_급식부3_선도부2** | **22.0%** | 전교 체육부장(4코2★) | 논술의 신(4코2★) | 미친 과학자(4코2★) | 70G | **논술의 신(4코2★)**, 시조 읊는 선비(3코1★), 국어부장(1코1★), **전교 체육부장(4코2★)**, **미친 과학자(4코2★)**, 전교 학생회장(4코2★), 올림피아드 금상(3코2★), 오케스트라 단장(3코2★) |
| 56 | Syn(보건부6) | **보건부6_도덕2_사회1** | **16.9%** | 전교 체육부장(4코2★) | 미술 치료사(3코2★) | 논술의 신(4코2★) | 46G | **미술 치료사(3코2★)**, 지리덕후(1코2★), 나이팅게일(4코1★), 양호실 도우미(3코1★), 팝송 매니아(2코1★), 복도 지킴이(1코1★), **논술의 신(4코2★)**, **전교 체육부장(4코2★)** |
| 57 | 7L | **영어2** | **15.3%** | 올림피아드 금상(3코2★) | 시조 읊는 선비(3코2★) | 발명품 매니아(3코2★) | 63G | **시조 읊는 선비(3코2★)**, **발명품 매니아(3코2★)**, 영어 프리토커(3코2★), 해외 보따리상(3코2★), 육상부 에이스(3코2★), **올림피아드 금상(3코2★)**, 오케스트라 단장(3코2★) |
| 58 | Syn(도덕6) | **도덕6_선도부4_보건부2** | **10.2%** | 전교 체육부장(4코2★) | 나이팅게일(4코2★) | 칠판닦이 당번(1코1★) | 48G | **나이팅게일(4코2★)**, 교장 선생님(5코1★), 양호실 도우미(3코1★), 바른생활 사나이(2코1★), 복도 지킴이(1코1★), **칠판닦이 당번(1코1★)**, **전교 체육부장(4코2★)**, 전교 체육부장(4코2★) |
| 59 | Syn(도덕4) | **도덕4_선도부4_사회1** | **8.5%** | 전교 체육부장(4코2★) | 천재 퀀트(4코2★) | 천재 퀀트(4코2★) | 57G | 교장 선생님(5코1★), 나이팅게일(4코1★), 바른생활 사나이(2코1★), 칠판닦이 당번(1코1★), **천재 퀀트(4코2★)**, **전교 체육부장(4코2★)**, **천재 퀀트(4코2★)**, 사회탐구 1타(3코2★) |
| 60 | Syn(과학4) | **과학4_체육2_장난꾸러기2** | **5.1%** | 전교 체육부장(4코2★) | 수석 연구원(5코2★) | 발명품 매니아(3코2★) | 68G | **수석 연구원(5코2★)**, **발명품 매니아(3코2★)**, 미친 과학자(4코1★), 과학탐구원(1코1★), **전교 체육부장(4코2★)**, 미술 치료사(3코2★), 육상부 에이스(3코2★), 양호실 도우미(3코2★) |
